Lewis Carroll|Alice’s Adventures in Wonderland|/ebooks/lewis-carroll/alices-adventures-in-wonderland/john-tenniel
Jane Austen|Pride and Prejudice|/ebooks/jane-austen/pride-and-prejudice
Alfred, Lord Tennyson|Idylls of the King|/ebooks/alfred-lord-tennyson/idylls-of-the-king
Rudolph Erich Raspe|The Surprising Adventures of Baron Munchausen|/ebooks/rudolph-erich-raspe/the-surprising-adventures-of-baron-munchausen
William Wordsworth|Lyrical Ballads|/ebooks/william-wordsworth_samuel-taylor-coleridge/lyrical-ballads
Jack London|The Call of the Wild|/ebooks/jack-london/the-call-of-the-wild
Jack London|White Fang|/ebooks/jack-london/white-fang
W. W. Jacobs|The Lady of the Barge|/ebooks/w-w-jacobs/the-lady-of-the-barge
Oscar Wilde|The Importance of Being Earnest|/ebooks/oscar-wilde/the-importance-of-being-earnest
Oscar Wilde|The Picture of Dorian Gray|/ebooks/oscar-wilde/the-picture-of-dorian-gray
Henry James|The Turn of the Screw|/ebooks/henry-james/the-turn-of-the-screw
Lord Dunsany|The Book of Wonder|/ebooks/lord-dunsany/the-book-of-wonder/sidney-h-sime
Marcus Aurelius|Meditations|/ebooks/marcus-aurelius/meditations/george-long
Apsley Cherry-Garrard|The Worst Journey in the World|/ebooks/apsley-cherry-garrard/the-worst-journey-in-the-world
H. G. Wells|The Time Machine|/ebooks/h-g-wells/the-time-machine
Upton Sinclair|The Jungle|/ebooks/upton-sinclair/the-jungle
Laozi|Tao Te Ching|/ebooks/laozi/tao-te-ching/james-legge
Voltaire|Candide|/ebooks/voltaire/candide/the-modern-library
Thomas De Quincey|Confessions of an English Opium-Eater|/ebooks/thomas-de-quincey/confessions-of-an-english-opium-eater
Bram Stoker|Dracula|/ebooks/bram-stoker/dracula
Niccolò Machiavelli|The Prince|/ebooks/niccolo-machiavelli/the-prince/w-k-marriott
Henry David Thoreau|Walden|/ebooks/henry-david-thoreau/walden
Joseph Conrad|Heart of Darkness|/ebooks/joseph-conrad/heart-of-darkness
Anton Chekhov|Short Fiction|/ebooks/anton-chekhov/short-fiction/constance-garnett
James Joyce|Dubliners|/ebooks/james-joyce/dubliners
Edgar Allan Poe|The Narrative of Arthur Gordon Pym of Nantucket|/ebooks/edgar-allan-poe/the-narrative-of-arthur-gordon-pym-of-nantucket
Agatha Christie|The Mysterious Affair at Styles|/ebooks/agatha-christie/the-mysterious-affair-at-styles
Friedrich Nietzsche|Beyond Good and Evil|/ebooks/friedrich-nietzsche/beyond-good-and-evil/helen-zimmern
Robert Frost|North of Boston|/ebooks/robert-frost/north-of-boston
Omar Khayyám|The Rubáiyát of Omar Khayyám|/ebooks/omar-khayyam/the-rubaiyat-of-omar-khayyam/edward-fitzgerald
Edgar Rice Burroughs|A Princess of Mars|/ebooks/edgar-rice-burroughs/a-princess-of-mars
Jules Verne|Around the World in Eighty Days|/ebooks/jules-verne/around-the-world-in-eighty-days/george-makepeace-towle
Robert Louis Stevenson|Treasure Island|/ebooks/robert-louis-stevenson/treasure-island
Robert Louis Stevenson|The Strange Case of Dr. Jekyll and Mr. Hyde|/ebooks/robert-louis-stevenson/the-strange-case-of-dr-jekyll-and-mr-hyde
Mary Shelley|Frankenstein|/ebooks/mary-shelley/frankenstein
Mark Twain|The Adventures of Huckleberry Finn|/ebooks/mark-twain/the-adventures-of-huckleberry-finn
Stanley G. Weinbaum|Short Fiction|/ebooks/stanley-g-weinbaum/short-fiction
Hermann Hesse|Siddhartha|/ebooks/hermann-hesse/siddhartha/gunther-olesch_anke-dreher_amy-coulter_stefan-langer_semyon-chaichenets
Charles Dickens|David Copperfield|/ebooks/charles-dickens/david-copperfield
Arthur Conan Doyle|The Lost World|/ebooks/arthur-conan-doyle/the-lost-world
Mark Twain|A Connecticut Yankee in King Arthur’s Court|/ebooks/mark-twain/a-connecticut-yankee-in-king-arthurs-court
Anton Chekhov|The Duel|/ebooks/anton-chekhov/the-duel/constance-garnett
Arthur Machen|Short Fiction|/ebooks/arthur-machen/short-fiction
Kenneth Grahame|The Wind in the Willows|/ebooks/kenneth-grahame/the-wind-in-the-willows
Lord Dunsany|The Gods of Pegāna|/ebooks/lord-dunsany/the-gods-of-pegana
Fritz Leiber|The Big Time|/ebooks/fritz-leiber/the-big-time
Algis Budrys|Short Fiction|/ebooks/algis-budrys/short-fiction
Leo Tolstoy|A Confession|/ebooks/leo-tolstoy/a-confession/aylmer-maude
Philip K. Dick|Short Fiction|/ebooks/philip-k-dick/short-fiction
G. K. Chesterton|The Man Who Was Thursday|/ebooks/g-k-chesterton/the-man-who-was-thursday
James Fenimore Cooper|The Last of the Mohicans|/ebooks/james-fenimore-cooper/the-last-of-the-mohicans
Gustave Flaubert|Madame Bovary|/ebooks/gustave-flaubert/madame-bovary/eleanor-marx-aveling
P. G. Wodehouse|Right Ho, Jeeves|/ebooks/p-g-wodehouse/right-ho-jeeves
H. Beam Piper|Space Viking|/ebooks/h-beam-piper/space-viking
Miguel de Cervantes Saavedra|Don Quixote|/ebooks/miguel-de-cervantes-saavedra/don-quixote/john-ormsby
Jerome K. Jerome|Three Men in a Boat|/ebooks/jerome-k-jerome/three-men-in-a-boat
William Makepeace Thackeray|The Luck of Barry Lyndon|/ebooks/william-makepeace-thackeray/the-luck-of-barry-lyndon
H. G. Wells|The War of the Worlds|/ebooks/h-g-wells/the-war-of-the-worlds
G. K. Chesterton|The Innocence of Father Brown|/ebooks/g-k-chesterton/the-innocence-of-father-brown
Louisa May Alcott|Little Women|/ebooks/louisa-may-alcott/little-women
Samuel Johnson|The History of Rasselas, Prince of Abyssinia|/ebooks/samuel-johnson/the-history-of-rasselas-prince-of-abyssinia
P. T. Barnum|The Art of Money Getting|/ebooks/p-t-barnum/the-art-of-money-getting
Rudyard Kipling|The Jungle Book|/ebooks/rudyard-kipling/the-jungle-book
Honoré de Balzac|Father Goriot|/ebooks/honore-de-balzac/father-goriot/ellen-marriage
Sax Rohmer|The Insidious Dr. Fu-Manchu|/ebooks/sax-rohmer/the-insidious-dr-fu-manchu
Seneca|Dialogues|/ebooks/seneca/dialogues/aubrey-stewart
Elizabeth Gaskell|Cranford|/ebooks/elizabeth-gaskell/cranford
Jules Verne|The Mysterious Island|/ebooks/jules-verne/the-mysterious-island/stephen-w-white
Daniel Defoe|A Journal of the Plague Year|/ebooks/daniel-defoe/a-journal-of-the-plague-year
Frances Hodgson Burnett|The Secret Garden|/ebooks/frances-hodgson-burnett/the-secret-garden
Émile Zola|His Masterpiece|/ebooks/emile-zola/his-masterpiece/ernest-alfred-vizetelly
A. Merritt|The Moon Pool|/ebooks/a-merritt/the-moon-pool
Thomas De Quincey|Suspiria de Profundis|/ebooks/thomas-de-quincey/suspiria-de-profundis
Leo Tolstoy|The Kingdom of God Is Within You|/ebooks/leo-tolstoy/the-kingdom-of-god-is-within-you/leo-wiener
Benjamin Franklin|The Autobiography of Benjamin Franklin|/ebooks/benjamin-franklin/the-autobiography-of-benjamin-franklin
William Wollaston|The Religion of Nature Delineated|/ebooks/william-wollaston/the-religion-of-nature-delineated
David Lindsay|A Voyage to Arcturus|/ebooks/david-lindsay/a-voyage-to-arcturus
William Hope Hodgson|The House on the Borderland|/ebooks/william-hope-hodgson/the-house-on-the-borderland
William Morris|The Wood Beyond the World|/ebooks/william-morris/the-wood-beyond-the-world
Robert W. Chambers|The King in Yellow|/ebooks/robert-w-chambers/the-king-in-yellow
Joseph Conrad|The Secret Agent|/ebooks/joseph-conrad/the-secret-agent
C. J. Cutcliffe Hyne|The Lost Continent|/ebooks/c-j-cutcliffe-hyne/the-lost-continent
G. K. Chesterton|The Napoleon of Notting Hill|/ebooks/g-k-chesterton/the-napoleon-of-notting-hill
George MacDonald|The Princess and the Goblin|/ebooks/george-macdonald/the-princess-and-the-goblin
F. Marion Crawford|Khaled|/ebooks/f-marion-crawford/khaled
William Hazlitt|Table-Talk|/ebooks/william-hazlitt/table-talk
Horace Walpole|The Castle of Otranto|/ebooks/horace-walpole/the-castle-of-otranto
Agatha Christie|The Secret Adversary|/ebooks/agatha-christie/the-secret-adversary
George Meredith|The Shaving of Shagpat|/ebooks/george-meredith/the-shaving-of-shagpat
Philip Francis Nowlan|Armageddon 2419 A.D.|/ebooks/philip-francis-nowlan/armageddon-2419-a-d
Ethel Voynich|The Gadfly|/ebooks/ethel-voynich/the-gadfly
John Stuart Mill|On Liberty|/ebooks/john-stuart-mill/on-liberty
Francisco de Quevedo|Pablo de Segovia, the Spanish Sharper|/ebooks/francisco-de-quevedo/pablo-de-segovia-the-spanish-sharper/pedro-pineda
James De Mille|A Strange Manuscript Found in a Copper Cylinder|/ebooks/james-de-mille/a-strange-manuscript-found-in-a-copper-cylinder
Max Beerbohm|Zuleika Dobson|/ebooks/max-beerbohm/zuleika-dobson
D. H. Lawrence|Sons and Lovers|/ebooks/d-h-lawrence/sons-and-lovers
Nikolai Gogol|Dead Souls|/ebooks/nikolai-gogol/dead-souls/c-j-hogarth
E. M. Forster|A Room With a View|/ebooks/e-m-forster/a-room-with-a-view
Thomas Carlyle|Sartor Resartus|/ebooks/thomas-carlyle/sartor-resartus
Rafael Sabatini|Scaramouche|/ebooks/rafael-sabatini/scaramouche
Booth Tarkington|The Magnificent Ambersons|/ebooks/booth-tarkington/the-magnificent-ambersons
